,Unnamed: 0,Turnover ;  Total (State) ;  Food retailing ;,Turnover ;  Total (State) ;  Household goods retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other retailing ;,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  Total (State) ;  Food retailing ;.1,Turnover ;  Total (State) ;  Household goods retailing ;.1,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.1",Turnover ;  Total (State) ;  Department stores ;.1,Turnover ;  Total (State) ;  Other retailing ;.1,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1",Turnover ;  Total (State) ;  Total (Industry) ;.1,Turnover ;  Total (State) ;  Food retailing ;.2,Turnover ;  Total (State) ;  Household goods retailing ;.2,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.2",Turnover ;  Total (State) ;  Department stores ;.2,Turnover ;  Total (State) ;  Other retailing ;.2,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.2",Turnover ;  Total (State) ;  Total (Industry) ;.2
0,Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1,Series Type,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend
2,Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
3,Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
4,Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Series Start,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00
6,Series End,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00
7,No. Obs,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
8,Series ID,A3348591K,A3348600A,A3348609W,A3348618X,A3348627A,A3348636C,A3348582J,A3348594T,A3348603J,A3348612K,A3348621L,A3348630R,A3348639K,A3348585R,A3348597X,A3348606R,A3348615T,A3348624V,A3348633W,A3348642X,A3348588W
9,1982-04-01 00:00:00,1162.6,592.3,359.9,460.1,479.1,342.4,3396.4,1167.1,653.5,360.7,479.8,507.9,349.8,3518.7,1173.2,652.9,362.7,482.4,505.1,347.5,3523.4
